ordered_rank,solver_index,lambda
542,541,5502.116873435853
543,542,5520.443380964104
544,543,5550.572096187114
545,544,5562.609456647682
546,545,5565.124427446839
547,546,5603.503658840845
548,547,5624.939415125966
549,548,5632.433714571179
550,549,5636.966655021176
551,550,5646.281334153728
552,551,5665.213394689008
553,552,5678.371853620381
554,553,5684.390554854813
555,554,5692.498094133882
556,555,5704.444967906228
557,556,5711.754869453804
558,557,5740.939455604916
559,558,5744.295710878274
560,559,5755.562430409047
561,560,5759.901275302001
562,561,5774.944475890278
563,562,5795.939882699844
564,563,5808.713024463645
565,564,5815.022807211452
566,565,5822.942007529222
567,566,5831.483487732962
568,567,5844.19302518932
569,568,5853.325432076097
570,569,5863.077131851253
571,570,5887.474658779913
572,571,5904.277694074497
573,572,5906.239734219113
574,573,5907.806272865711
575,574,5926.105708554229
576,575,5932.318859069437
577,576,5933.505221941651
578,577,5944.968426057275
579,578,5952.594714637527
580,579,5970.458864510389
581,580,5983.999990914198
582,581,5987.62345574477
583,582,5991.436247705838
584,583,5995.79034456408
585,584,6013.79862827601
586,585,6014.156793024569
587,586,6026.605472875486
588,587,6032.619263914852
589,588,6039.26697693991
590,589,6051.674023847903
591,590,6053.055371098352
592,591,6062.368440148072
593,592,6065.645583081419
594,593,6072.157082744852
595,594,6073.88510755057
596,595,6078.720479980025
597,596,6090.75778446979
598,597,6092.560916744045
599,598,6094.532690047289
600,599,6102.452880052247
601,600,6111.535056356307
602,601,6115.83225802081
603,602,6116.499757296094
604,603,6124.70474415219
605,604,6132.230621706893
606,605,6145.39252916841
607,606,6155.272800975137
608,607,6174.614327801515
609,608,6176.429399066926
610,609,6192.924860811192
611,610,6193.874152289516
612,611,6210.273031906286
613,612,6215.539562643874
614,613,6222.588925876927
615,614,6230.441078447129
616,615,6232.421314933705
617,616,6239.684424440567
618,617,6252.477458113826
619,618,6259.805909789216
620,619,6275.269454847589
621,620,6275.360685440882
622,621,6296.517517639953
623,622,6310.669848684184
624,623,6312.851813766981
625,624,6327.317692602701
626,625,6332.806379335018
627,626,6347.505461392891
628,627,6348.868141788065
629,628,6356.440148036066
630,629,6366.98709025442
631,630,6378.045630958291
632,631,6380.243509693087
633,632,6395.696539360611
634,633,6398.989513932023
635,634,6409.819557652458
636,635,6411.461773969519
637,636,6411.918438959521
638,637,6441.738139003622
639,638,6451.627252264057
640,639,6473.119438693644
641,640,6481.68115005136
642,641,6502.646559810198
643,642,6529.879811317553
644,643,6554.406314672305
645,644,6575.968248280525
646,645,6594.464961113222
647,646,6609.802182446454
648,647,6621.822826984449
649,648,6630.401945123889
650,649,6635.611822629574
651,650,6637.284671931245
652,651,6638.411941654153
653,652,6638.510894986154
654,653,7023.640700727389
655,654,7025.146280881505
656,655,7138.259843554045
657,656,7161.974805172604
658,657,7521.745612882843
659,658,7779.953537844018
660,659,7788.045309963944
661,660,7853.175482727411
662,661,7983.045138871964
663,662,8420.487927271215
664,663,8560.065176292679
665,664,8612.477309022022
666,665,8675.528569051356
667,666,9135.232909825754
668,667,9296.857899574163
669,668,9351.317642068225
670,669,9483.996879820803
671,670,9673.988459999871
672,671,9851.904635446585
673,672,10188.56159062969
674,673,10277.85651118611
675,674,10409.10674740284
676,675,10903.6130351602
677,676,10922.12817201797
678,677,10986.39642930062
679,678,11257.01948803686
680,679,11421.07029306658
681,680,11519.87953056513
682,681,11917.34388345128
683,682,12055.04609413407
684,683,12230.65140642635
685,684,12634.31828401881
686,685,12648.08339914461
687,686,12788.64118297683
688,687,13102.41194767047
689,688,13160.94846827604
690,689,13432.02701679818
691,690,13707.88254715497
692,691,13896.31379139556
693,692,14004.84261338697
694,693,14400.71130829754
695,694,14416.37807471789
696,695,14669.16258306134
697,696,14945.73972651845
698,697,14980.23136293777
699,698,15306.65297544795
700,699,15475.31900127254
701,700,15711.07164706841
702,701,15747.42812460702
703,702,16153.7760671134
704,703,16205.98864653933
705,704,16449.2575268188
706,705,16686.1053690496
707,706,16736.47819283121
708,707,17074.3697700984
709,708,17141.62457574355
710,709,17372.08835613718
711,710,17479.95952428036
712,711,17692.2426210539
713,712,17886.51814294897
714,713,18065.20872253823
715,714,18187.62579525817
716,715,18279.87454778073
717,716,18597.77980281756
718,717,18634.07992993576
719,718,18869.27364746408
720,719,18932.29619186009
721,720,19020.2166695599
722,721,19148.90712386385
723,722,19167.51656022033
724,723,19584.97629506345
725,724,19589.18287666227
726,725,19673.10432438816
727,726,19754.03661900336
728,727,19924.59397775899
729,728,20181.39413702129
730,729,20420.61295081602
731,730,20422.88210787401
732,731,20572.60025757313
733,732,20575.36931348802
734,733,20801.50969870984
735,734,20802.58903148489
736,735,21557.46491671272
737,736,21557.82038333152
738,737,21655.91145499696
739,738,21656.17124323575
740,739,22475.7784262242
741,740,22475.9899812212
